country_name,year,num_outbreaks,diseases_list,total_confirmed_cases,total_outbreak_deaths,avg_cfr,iso3,total_vaccinations,people_fully_vaccinated,total_boosters,vaccinations_per_hundred,fully_vaccinated_per_hundred,max_daily_vaccinations,who_alerts,who_diseases,who_total_cases,who_total_deaths,who_avg_cfr,who_high_risk_alerts
Bolivia,2022.0,,,,,,BOL,14690530.0,6160585.0,2167589.0,120.18,50.4,107780.0,,,,,,
Bonaire Sint Eustatius and Saba,2021.0,,,,,,BES,35845.0,16736.0,,132.5,61.87,196.0,,,,,,
Bosnia and Herzegovina,2021.0,,,,,,BIH,1553874.0,720631.0,22572.0,48.06,22.29,17247.0,,,,,,
Bosnia and Herzegovina,2022.0,,,,,,BIH,1924950.0,846080.0,120530.0,59.53,26.17,4315.0,,,,,,
Botswana,2021.0,,,,,,BWA,1128095.0,1033971.0,,42.89,39.31,15933.0,,,,,,
Botswana,2022.0,,,,,,BWA,3121142.0,1426050.0,499421.0,118.66,54.22,56751.0,,,,,,
Botswana,2023.0,,,,,,BWA,3171667.0,1663490.0,510809.0,120.58,63.24,1444.0,,,,,,
Brazil,2002.0,1.0,Dengue,794000.0,150.0,0.02,,,,,,,,,,,,,
Brazil,2008.0,1.0,Dengue,735000.0,500.0,0.07,,,,,,,,,,,,,
Brazil,2009.0,1.0,H1N1 Influenza Pandemic,58178.0,2135.0,3.67,,,,,,,,,,,,,
Brazil,2010.0,1.0,Dengue,1011548.0,656.0,0.06,,,,,,,,,,,,,
Brazil,2013.0,1.0,Dengue,1470000.0,545.0,0.04,,,,,,,,,,,,,
Brazil,2015.0,2.0,"Zika Virus,Dengue",2090000.0,874.0,0.05,,,,,,,,,,,,,
Brazil,2016.0,1.0,Yellow Fever,2154.0,745.0,34.6,,,,,,,,,,,,,
Brazil,2019.0,1.0,Dengue,2240000.0,780.0,0.03,,,,,,,,,,,,,
Brazil,2020.0,1.0,COVID-19,7675000.0,194900.0,2.5,,,,,,,,,,,,,
Brazil,2021.0,,,,,,BRA,331273910.0,143436012.0,26571077.0,153.86,66.62,1941268.0,,,,,,
Brazil,2022.0,,,,,,BRA,480333910.0,174887915.0,122629436.0,223.09,81.22,1780427.0,,,,,,
Brazil,2023.0,,,,,,BRA,486436436.0,176164186.0,126388587.0,225.92,81.82,283507.0,,,,,,
British Virgin Islands,2021.0,,,,,,VGB,35799.0,17005.0,,114.26,54.27,343.0,,,,,,
British Virgin Islands,2022.0,,,,,,VGB,41453.0,18261.0,3726.0,132.3,58.28,265.0,,,,,,
Brunei,2021.0,,,,,,BRN,898401.0,400691.0,,200.09,89.24,7901.0,,,,,,
Brunei,2022.0,,,,,,BRN,1283392.0,445929.0,338987.0,285.83,99.32,5941.0,,,,,,
